Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Title,Practitioner,Show in Navigation,Summary,Description,Quote,Bookable,Booking Text,Booking Link,Services,Disciplines,Order,Main Image,Thumbnail Image
Abby Spenst,abby-spenst,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83f9,true,false,Mon Mar 21 2022 21:47:25 GMT+0000 (Coordinated Universal Time),Thu Nov 23 2023 00:09:54 GMT+0000 (Coordinated Universal Time),,REGISTERED NURSE,false,false,,,,false,,,,,,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/6238f25f5c3bc12ff89796aa_abby-spenst-94aa4e378da3fc67f39ccdef81d9fcbc26998b809d10df3aea426c90cbbe90ca.jpg,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/6238f25f5c3bc12ff89796aa_abby-spenst-94aa4e378da3fc67f39ccdef81d9fcbc26998b809d10df3aea426c90cbbe90ca.jpg
Ally Ratzke,ally-ratzke,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b8413,false,false,Fri Aug 25 2023 18:00:26 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2026 19:34:30 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2026 19:34:30 GMT+0000 (Coordinated Universal Time),Registered Acupuncturist ,true,false,"Alexandra (Ally) Ratzke is a Registered Acupuncturist with the CTCMA and Certified Laser Acupuncturist. She sees patients Tuesday, Wednesday and Thursday.","<p id="""">Alexandra (Ally) Ratzke grew up in Calgary, AB and spent many weekends with her family enjoying the mountains as a competitive ski racer. Being an athlete in her formative years taught her to listen to her body and experiment with new ways of healing. She first tried acupuncture for a whiplash injury and was intrigued after the first session. Ally was fascinated with the combination of pain relief and the state of mind acupuncture induced… your whole body literally melts into the table and relaxation takes over. She knew it was a perfect fit and she promptly sought out schooling to share her passion of acupuncture and alternative medicine.</p><p id="""">Ally graduated with honors from Pacific Rim College in June 2014 with a three year diploma as a Registered Acupuncturist. In 2017, she went on to complete a 6 month training program in Laser Therapy to become a Certified Laser Acupuncturist. Ally uses techniques that she learned through Traditional Chinese Medicine (acupuncture, cupping, gua sha and tui na) and integrates that with Cold Laser Therapy. You can expect to get needling and one or more of the other modalities in a treatment.</p><p id="""">Acupuncture has become a huge part of Ally’s life and she loves sharing that with others. It is such a multifaceted therapy that can help people with all different conditions or concerns. Ally has years of experience working with mental health, digestion, hormones, headaches and pain relief. She has been living and practicing in Dawson Creek since 2017 and has cherished her time supporting the community.</p><p id="""">‍</p><p id=""""><strong id="""">Ally is Registered for ICBC&nbsp;Claims </strong></p><p id="""">Clients who begin treatment within three months of their ICBC claim are eligible for a maximum of twelve acupuncture sessions. Kindly schedule an Initial ICBC Acupuncture appointment through online booking or inform reception while making your appointment. Please note that ICBC does not typically pay the full price of the session so be prepared to pay a small fee (usually under $20.00 for follow-up sessions). </p>",,true,,https://oakclinic.janeapp.com/#/staff_member/12,acupuncture; cold-laser-therapy; cupping,female-health; pain-management; mental-health; digestive-concerns; cardiovascular-health; headaches-migraines; cancer-support; lyme-disease,4,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655e968885b3d3061c0d621f_231118_untitled%20shoot_0632_edit_websize.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655e968e258dfbdf0daaf6b4_231118_untitled%20shoot_0675_edit_websize.jpg
Dr. Anouk Chaumont,dr-anouk-chaumont,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83bb,false,false,Sun Mar 20 2022 22:36:19 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2026 19:37:23 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2026 19:37:23 GMT+0000 (Coordinated Universal Time),Naturopathic Doctor,true,true,Dr. Anouk no longer works in Dawson Creek however we continue to have a close working relationship with her office in Grande Prairie. Dr Anouk focuses in Cancer and Lyme Disease. She is an active member of ILADS and LDAA.,"<p>Dr. Anouk Chaumont graduated from the Canadian College of Naturopathic Medicine in 2005 and practiced naturopathic medicine in Eastern Ontario for 9 years before deciding to move to Grande Prairie, Alberta. During her career as a naturopathic doctor, she has had a special interest in naturopathic oncology as well as injection therapy for musculoskeletal problems.</p><p>In the recent years, after her husband got bitten by a tick in Northern Alberta and contracted Lyme disease and Babesiosis (a co-infection often transmitted by ticks), Dr Chaumont has decided to focus her career in helping patients suffering from Lyme disease and associated tick-borne infections. Although she still practices general family naturopathic medicine, the main focus of her practice is in the proper diagnosis and treatment of Lyme disease as well as naturopathic oncology support.</p><p>She uses functional medicine as well as botanical medicine as her foundational therapeutic approach. Most of her therapeutic recommendations are highly science-based and are usually accompanied by individualized lifestyle and nutritional modifications. Finding the underlying root cause of disease is her passion and fixing it with the least amount of pharmaceuticals as possible is her goal.</p>",,false,"<p>To book an appointment with Dr. Anouk Chaumont please call Triskel Health at <a href=""tel:5874003288"">587-400-3288</a>.</p>",,lab-testing,cancer-support; lyme-disease,3,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/66ff49e9b2c45720551ecc30_211016_Oak%20Clinic%202021_6241_edit_websize.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/62392c6be548aef636cf0c70_dr-anouk-thumb.jpg
Dr. Ayla Andrus,dr-ayla-andrus,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83a8,false,false,Sun Mar 20 2022 22:30:32 GMT+0000 (Coordinated Universal Time),Sun Mar 29 2026 22:19:47 GMT+0000 (Coordinated Universal Time),Sun Mar 29 2026 22:19:47 GMT+0000 (Coordinated Universal Time),Naturopathic Doctor,true,true,"Dr. Ayla is a full-time Naturopathic Doctor, seeing patients Monday through Thursday. She runs a general clinic but does focus her time on digestive and hormone concerns.","<p>Dr. Ayla was born and raised in Dawson Creek. She obtained her Bachelor of Science in Anatomy and Cell Biology, then went on to complete her Doctor of Naturopathy Degree at the Canadian College of Naturopathic Medicine. In 2018 she returned to her roots to open Oak Clinic with the help of her partner Gordon and wonderful family. While navigating these challenging past few years has been quite the journey, her love for being a Naturopathic Doctor has only grown stronger as she finds her fit in the amazing community of Dawson Creek.<br></p><p>Ayla is a Fully Licensed Registrant and Practicing Naturopathic Doctor, in the Province of British Columbia. She is also certified in Prescriptive Authority, Intravenous &amp; Injection Therapy, Chelation, Traditional Chinese Acupuncture and Facial Rejuvenation Acupuncture.<br></p><p>Dr. Ayla is one of our general practitioners, but has a special interest in treating hormones, digestion, mental health and skin conditions. With her powerful understanding of the incredible complexities that make up the human body; she is ready to guide you on your unique health journeys.<br><br>Outside the clinic, Dr. Ayla can be found on a trail with her two dogs, elbow-deep in a garden, or making what others might call fibre art. She is also the co-founder of <a href=""https://frameworknutrition.io/"">FrameWork Nutrition</a>: a passion project, shaped by time spent alongside her partner Gordon, a serial tech founder, who showed her what technology could do. She built it with fellow ND, Dr. Elena Moore to prove that good nutrition should actually be doable.<br></p>","I find patients are often concerned that they’re going to overwhelm me with their list of ailments. Fear not, for I too have walked a mile, or two, or perhaps a hundred in similar shoes... In fact, it’s one of the reasons I became a Naturopathic Doctor. From chronic migraines to ovarian cysts, fatigue, anxiety, mycotoxin poisoning, and more recently, a Lyme disease diagnosis that quietly rewired how I think about energy and capacity. I understand how genuinely complex and non-linear a health journey can be. Rarely does someone have only one symptom. Bring me your sh*t, we will sort it out!",true,,https://oakclinic.janeapp.com/#/staff_member/1,naturopathic-consultation; lab-testing; prescription-renewal,digestive-concerns; female-health; mental-health; headaches-migraines,1,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/6237aacc3349ba1fdf2d38a7_ayla-634ec1b18df4a5e7ca1a8e86fe644e235da43da55cf24137b688e9376f385eb5.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/6237aaf99462e23319f00f7a_dr-ayla-andrus-nd-91334d8c2aae0cc243eb0e7dd5a66bf32d501f7a2f00d851df7ccce2c3b16bc7.jpg
Dr. Elena Moore,dr-elena-moore,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b8401,false,false,Fri Jun 16 2023 01:13:19 GMT+0000 (Coordinated Universal Time),Sun Dec 17 2023 23:34:44 GMT+0000 (Coordinated Universal Time),Sun Dec 17 2023 23:34:49 GMT+0000 (Coordinated Universal Time),Naturopathic Doctor ,true,true,"Dr. Elena is a full-time Naturopathic Doctor. While she operates a general clinic, her expertise and primary areas of focus are mental health, digestion, hormonal health, and cardiovascular disease.","<p id="""">Dr. Elena grew up in a small, close-knit community in Ontario, fostering her deep commitment to community-oriented healthcare. She spent her high school years in Tokyo, Japan, an experience that sparked her love for adventure and opened her eyes to a more holistic model of healthcare. After graduating from the University of Toronto with a Bachelor of Science Honours in Nutritional Sciences and Human Biology, she went on to earn her Doctor of Naturopathic Medicine degree from the Canadian College of Naturopathic Medicine. After two years of practicing naturopathic medicine in Vancouver, Dr. Elena is excited to embark on a new adventure and join our practice in Dawson Creek, BC.</p><p id="""">As a general practitioner, Dr. Elena combines her expertise and compassion to address a wide range of health concerns. Her primary areas of focus encompass mental health, including disordered eating, digestion, hormonal health, and cardiovascular disease. She is a licensed registrant of the College of Naturopathic Physicians of BC and is also certified in Prescriptive Authority, Acupuncture, and Facial Rejuvenation Acupuncture. Join us at Oak Clinic and embark on your journey toward holistic wellness with Dr. Elena Moore, ND, as your trusted partner in health.</p>","I used to think medicine was all about the numbers and facts, but through my education and experience working in the field, I've come to understand that the numbers are only one part of the picture. Each person is unique in their health concerns, history, and lifestyle—we exist in the real world, not just in a laboratory study bubble! Getting to know my patients is my number one goal as a naturopath. Along with the standard medical labs, getting to know you allows me to see your whole health picture and better address the root cause of your issues. I may be the expert in naturopathic medicine, but you are the expert in you, and that's equally as important to effectively and sustainably support your health.",true,,https://oakclinic.janeapp.com/#/staff_member/11,naturopathic-consultation; lab-testing; prescription-renewal; pap-smear-and-cervical-screening,cardiovascular-health; digestive-concerns; female-health; mental-health; headaches-migraines,2,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/655e96323febdd2a57ff2356_231118_untitled%20shoot_0469_edit_websize.jpg,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/655eaada8b5294a93189c5dd_231118_untitled%20shoot_0507_edit_websize.jpg
Emma Sloane,emma-carpenter,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83d3,false,false,Sun Mar 20 2022 22:37:40 GMT+0000 (Coordinated Universal Time),Fri Oct 10 2025 04:11:40 GMT+0000 (Coordinated Universal Time),Fri Oct 10 2025 04:14:47 GMT+0000 (Coordinated Universal Time),Certified Massage Professional (CMMOTA),true,false,"Emma is a full time Massage Professional and has additional training in Neurostructural Integration, RAPID Neurofascial Reset and Lensen Osteopathy.","<p id="""">Emma is a Certified Massage Professional who is registered with the Canadian Massage Manual Osteopathic Therapists Association (CMMOTA). Her primary focus is on helping clients achieve a more balanced and relaxed body, reducing the pain that often stems from daily activities, and promoting the settling of the nervous system for optimal function. Emma is passionate about educating her patients, ensuring that they leave each appointment with a plan to maintain wellness, mobility, and relief from pain in the days and weeks following their session.</p><p id="""">Emma's journey in Massage Therapy started with the completion of her two-year training at MCG Career College in Red Deer, where she earned her diploma in Advanced Therapeutic Massage and a Lensen Osteopath Certificate. In July 2020, Emma began on her professional practice in Dawson Creek, where she laid a solid foundation for her career. Building upon this strong base, she has since taken significant strides in advancing her expertise, further enhancing her skills through the additional certification in Neurostructural Integration Technique (NST) and RAPID Neurofascial Reset.</p><p id="""">Emma is committed to providing her clients with a diverse range of treatment modalities and is continually seeking to broaden her knowledge and skills to better serve them. Her approach to treatments is personalized, ensuring that each session caters specifically to her clients' unique needs and requirements.</p><p id="""">‍</p>",,false,"<p id="""">Emma is no longer taking on new clients, but you can learn more about <a href=""/services/massage-therapy"">massage therapy at Oak Clinic here.</a></p>",,,,5,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/62392cf16f48009626a652f1_emma-carp-head.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/62392cc7f4d2375c304f02c2_emma-carp-thumb.jpg
Mackenzie Vandergaag,mackenzie-vandergaag,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,6737b158e5e9e7425be362c9,false,false,Fri Nov 15 2024 20:38:48 GMT+0000 (Coordinated Universal Time),Thu Feb 19 2026 02:51:51 GMT+0000 (Coordinated Universal Time),Thu Feb 19 2026 02:51:51 GMT+0000 (Coordinated Universal Time),Certified Massage Professional (CMMOTA),true,true,**Mackenzie is registered with CMMOTA. Please confirm with your insurer that services from a CMMOTA-registered practitioner are eligible under your benefits.**,"<p id="""">Mackenzie is a dedicated Certified Massage Professional who grew up in Fort St. John, BC. She began her journey into massage therapy at the Alberta College of Massage Therapy, where she developed a strong foundation in a variety of therapeutic techniques. For the past three years, Mackenzie practiced in the scenic area of Banff, AB, gaining invaluable experience working with a diverse range of clients, from athletes to those seeking stress relief and recovery.</p><p id="""">Mackenzie specializes in Swedish therapeutic massage, deep tissue techniques, and sports massage. She also offers additional modalities, including cupping therapy and Kinesio taping (K-tape), to support recovery, mobility, and overall well-being. She tailors her treatments to each individual, focusing on promoting relaxation, improving mobility, and addressing specific concerns such as chronic pain or injury recovery. Her compassionate nature and commitment to her craft shine through in every session, creating a safe and supportive environment for her clients.</p><p id="""">Now back in northern BC, Mackenzie is thrilled to bring her expertise to Dawson Creek. With her years of experience and dedication to client care, she is here to help you achieve your wellness goals—whether you’re seeking relief from tension, recovery from physical exertion, or simply a moment of calm.</p>",,true,,https://oakclinic.janeapp.com/#/staff_member/13,massage-therapy,pain-management; mental-health; headaches-migraines; cardiovascular-health,7,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/6737e0f9b852713551def29c_MV-Photo%20Portrait%20.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/6737e10cc44b7ecac238b53e_MV-Photo%20Landscape.jpg
Megan Graw,megan-graw,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83f8,true,false,Mon Mar 21 2022 21:47:07 GMT+0000 (Coordinated Universal Time),Fri Oct 10 2025 04:11:47 GMT+0000 (Coordinated Universal Time),,Receptionist ,false,false,,,,false,"<p id="""">Emma is no longer taking on new clients, but you can learn more about <a id="""" href=""/services/massage-therapy"">massage therapy at Oak Clinic here.</a></p><p>‍</p>",,,,,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/6238f24acdbb565173c05459_megan-graw-74772ca10c086941dae65bb5f4b829d532d1bb1790038fbf02d687848e5f1121.jpg,https://uploads-ssl.webflow.com/6237aa71c8b7159014231f9a/6238f24acdbb565173c05459_megan-graw-74772ca10c086941dae65bb5f4b829d532d1bb1790038fbf02d687848e5f1121.jpg
Megan Piccinin,megan-piccinin,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,64eb8c85476b7618fe6b83fb,false,false,Fri Apr 08 2022 03:59:54 GMT+0000 (Coordinated Universal Time),Fri Oct 10 2025 04:16:22 GMT+0000 (Coordinated Universal Time),Fri Oct 10 2025 04:16:22 GMT+0000 (Coordinated Universal Time),Certified Massage Professional (CMMOTA),true,false,Megan is an accomplished and dedicated Massage Professional and has additional training in Neurostructural Integration Therapy (NST).,"<p id="""">Megan Piccinin is a skilled and passionate Massage Professional who recently graduated with a diploma in Advanced Therapeutic Massage. With her CMMOTA registration, Megan is a trusted and recognized practitioner in her field. With a commitment to excellence, Megan strives to deliver top-quality services that exceed client expectations.<br></p><p id="""">Through her extensive training and continuous professional development, Megan has acquired expertise in various specialized massage techniques, included but not limited to: deep tissue, joint mobility, myofascial release, and <a href=""https://oakclinic.ca/services/neurostructural-integration-therapy"">Neurostructural Integration Therapy</a> (NST).<br></p><p id="""">With Megan, you can expect a personalized approach that takes into account your unique needs and preferences. Her goal is to create a soothing and therapeutic experience, promoting relaxation, healing, and overall well-being. Through her compassionate nature and genuine dedication, Megan creates a warm and welcoming environment where clients can unwind and rejuvenate.</p>",,false,"<p id="""">Megan is no longer taking on new clients, but you can learn more about <a href=""/services/massage-therapy"">massage therapy at Oak Clinic here.</a></p>",https://oakclinic.janeapp.com/#/staff_member/8,massage-therapy; neurostructural-integration-therapy,pain-management; headaches-migraines; mental-health; digestive-concerns,6,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655e96f65681d9c323af1c39_231118_untitled%20shoot_0551_edit_websize.jpg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655e96fa87969e81ad23c502_231118_untitled%20shoot_0558_edit_websize.jpg
Natalia Dupuis,natalia-dupuis,64eb8c85476b7618fe6b83a6,64eb8c85476b7618fe6b87af,655e982fac70f92c8a7274b0,true,true,Thu Nov 23 2023 00:09:19 GMT+0000 (Coordinated Universal Time),Fri Sep 19 2025 18:03:55 GMT+0000 (Coordinated Universal Time),,Office Administrator ,false,false,,,,false,,,,,,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655ea23a97b26eb89c50dfd3_tal.jpeg,https://cdn.prod.website-files.com/6237aa71c8b7159014231f9a/655ea23a97b26eb89c50dfd3_tal.jpeg
